id,employee_id,Nome Dependentes,Possui Dependente?,CPF Dependente,Parentesco Dependente,Dt. Nascimento Dependentes,Criado_em,Upload_em
7ea78c49-4118-4dfd-8a49-785de09eb014,a16a156e-aa4a-40c5-94a4-4bea0f443f39,Gabrielly Lopes,True,40784258520.0,Filho(a) menos de 21 anos,1979-10-31,01-30-2023,01-30-2023
d741fb15-c1d3-4160-9149-2fb77d18918e,727208ef-44e7-4c85-8c25-199f7011e9f5,Sophie Nunes,True,88215581447.0,Filho(a) mais de 21 anos,2003-07-04,01-30-2023,01-30-2023
98e497fe-d1a0-4218-b591-c8d7a078b15e,ad64f750-8850-444b-9bb1-536951a1819d,Cecília Duarte,True,33383153282.0,Filho(a) mais de 21 anos,2019-07-25,01-30-2023,01-30-2023
393a1390-c358-44c4-8f72-b9fcec33cfbb,945e364e-0bc3-4ec7-a693-32fc0f8db8a1,Matheus Rezende,True,78384204184.0,Filho(a) menos de 21 anos,2004-05-18,01-30-2023,01-30-2023
ddd28bec-0e51-4c3b-adca-8b24fdf6293e,f5fcda1f-5ef0-4e87-9768-70e048f232ae,Lavínia da Mota,True,90655319469.0,Filho(a) menos de 21 anos,2021-01-03,01-30-2023,01-30-2023
eb22fe3f-1290-4045-a99a-8dd7b512bdc7,9ecf4b0d-f2c6-43a6-bc78-9aec6feea1ae,Gustavo Henrique Farias,True,94478265403.0,Casado(a),1976-07-15,01-30-2023,01-30-2023
7d59a8f7-6dae-44cf-9b33-0961f28446fc,9aa8a752-61db-460f-8595-1c72d2d7160b,Yasmin da Rosa,True,92569442645.0,Casado(a),1976-05-20,01-30-2023,01-30-2023
f6f7aefe-be95-43f0-bf55-8d52365b87f1,4e6cd5ab-b8dc-45b1-a1a8-d33b35f5d574,Bruno Pinto,True,97603810728.0,Filho(a) mais de 21 anos,2001-02-06,01-30-2023,01-30-2023
c54d962e-bfc5-4c62-941a-3346484109fc,a17c88e3-71f9-4ec8-9020-3a0fd5e23557,Ana Vitória da Costa,True,93600402458.0,Filho(a) menos de 21 anos,1975-10-24,01-30-2023,01-30-2023
521f2496-a200-4b99-b58f-aeda8246ab94,9b0bb00b-b00d-4dfd-ab6e-2958fb0eabac,Diogo Barros,True,21220163176.0,Filho(a) mais de 21 anos,2022-12-06,01-30-2023,01-30-2023
9c8a5f3b-0027-40a5-9ac9-cf67fcdea3c6,d0927ff2-bd4a-426a-bc35-234aeff7ad9c,Heitor Pires,True,20095238844.0,Filho(a) menos de 21 anos,1972-11-02,01-30-2023,01-30-2023
67452d1b-9c79-4b83-afe5-08dc67aac094,d747296e-ad6b-4348-bf4d-2af946bb7266,Sophie Nunes,True,69519995754.0,Filho(a) menos de 21 anos,1997-12-06,01-30-2023,01-30-2023
23037615-3170-4c3d-b320-9bc5c565e89b,e60744d6-6ad2-4bc8-a720-e822eaa8998a,Enzo Barbosa,True,46311708411.0,Filho(a) mais de 21 anos,1982-03-07,01-30-2023,01-30-2023
e5ed1f73-c494-4423-baca-4bb2d6fcec65,1d460a8d-833b-4096-b3eb-ed691e6b932a,Maria Cecília Freitas,True,76959103149.0,Filho(a) menos de 21 anos,1984-06-24,01-30-2023,01-30-2023
d37ccb27-1b3e-40f4-8786-22ea939c5444,1d460a8d-833b-4096-b3eb-ed691e6b932a,Bianca Silveira,True,94063143187.0,Filho(a) mais de 21 anos,1974-01-25,01-30-2023,01-30-2023
54b62301-13ed-4fe8-bd93-51bf26dabebc,1d460a8d-833b-4096-b3eb-ed691e6b932a,,False,,,,01-30-2023,01-30-2023
f1000770-4bc8-40b6-bb63-4efc102170fc,1fe76ff6-e440-4509-b709-bb075c67150c,Thales das Neves,True,19741426148.0,Casado(a),2000-08-28,01-30-2023,01-30-2023
