id,Cargo_id,employee_id,Inicial,Final,Vinc.Empreg.,ID_Lider,Criado_em,Upload_em
fd7ceebc-d0e4-405e-bca1-438da34a19e0,e1b0521d-d8f3-4fdc-a49b-864af6e2d6d5,e3afc66f-dde4-400c-8498-acf3bb8d5ec1,2014-05-23,,CLT,1254652e-25f5-4d04-9659-d6a197a44ce2,01-31-2023,01-31-2023
40d493f8-3517-495e-9613-0e7d67ee560e,f4125bdf-6024-4636-8f3e-92b78f2a52ca,2994b773-f15b-4d26-8e07-902cf530d6d4,1981-10-27,,PJ,eadfe845-ec42-4935-a3db-9492cb1c9195,01-31-2023,01-31-2023
93ad79d5-7623-4606-ae45-41e38db4d4ef,84817b60-cc6d-425d-9dc3-e1d8e4c8a48d,f2eb10d5-03aa-4fb0-9ed8-3bc627f5c3d3,1993-06-25,,CLT,d91cc5c8-4a1b-4742-b58f-8c0c5d286705,01-31-2023,01-31-2023
2a04b629-dd8d-4009-a07d-a2cc43d73529,52878cb9-4e49-434e-92a6-6c1198c074fa,c1379714-b908-4fca-812c-ced133d86d3b,2006-02-02,2022-04-02  ,PJ,990ad34a-9bf4-4878-bf22-a6bc9a732411,01-31-2023,01-31-2023
484af6fb-43b8-4467-993c-6994b25befeb,ded608d4-446c-49f3-a4b2-d4cbf6e47c9b,c1379714-b908-4fca-812c-ced133d86d3b,2022-04-02  ,,PJ,990ad34a-9bf4-4878-bf22-a6bc9a732411,01-31-2023,01-31-2023
83529b1d-efff-4721-ba0a-78600ce00711,74d4021f-74f8-4965-b38e-5dcf23795908,30c90ab3-3692-4ad6-bcb4-edc5994a4428,2018-09-08,,CLT,7743faef-24fc-40db-a711-e61ce7c948a5,01-31-2023,01-31-2023
30379ba9-4965-4a41-8ed7-9af63567452c,9c837ee4-da90-4031-8254-1244d64a9bad,3dff2734-8fef-427a-8f5a-62c3dcb93063,1989-09-25,,CLT,f517a5f7-4bf2-4dc3-b90f-c2d673dbfb2f,01-31-2023,01-31-2023
095b0a84-66e2-4fed-90d4-31ecb1941d4e,baa0384c-898d-49f9-b1ae-f4d7605a6339,9551745a-5312-4c38-b786-f9f090ad5281,1988-07-16,,CLT,181d3b94-ec1f-4675-91fb-2714101b9850,01-31-2023,01-31-2023
af798e32-b1a2-48ff-8f88-84a2a62a6691,fc93919e-e458-4898-a29a-6ecab75b41a3,db07bef6-c827-44c0-80da-46f09723ed8f,2021-02-05,,PJ,6326cea7-7c81-419a-bada-8a2a742d7da0,01-31-2023,01-31-2023
8028fbcf-2073-4603-bed7-ea78ee11a221,1c33ab64-2e44-4bad-b7a8-e8b7c029a731,34e2b5d7-f121-4776-aac4-b085cf2117ed,2021-10-26,,CLT,b0343755-4791-4975-a831-b7e7afcf8a47,01-31-2023,01-31-2023
40af9117-43ce-4447-a364-7fe65456385f,8038c4a0-2401-4b0b-9391-c5526c1978ec,cc7ec5a7-e8d8-40c1-b3fc-9eaab7be0261,2012-11-23,2022-04-02  ,CLT,fde7ecea-4645-4508-ae55-a863cff6a11a,01-31-2023,01-31-2023
