id,employee_id,CPF,Nome,Email,Telefone,RG,Nacionalidade,Dt. Nascimento,Sexo,Raça e Cor,Estado Civil,Mãe,Pai,Endereço Completo,Criado_em,Upload_em
0c33c189-7fd6-48e5-a919-ac80c9898690,e3afc66f-dde4-400c-8498-acf3bb8d5ec1,42116450377,Lucas Gabriel da Rosa,viniciussales@example.com,+55 (081) 0623-4078,59530754,Brasileiro(a),1972-05-19,Feminino,Branco(a),Casado(a),Srta. Juliana da Conceição,Thomas Teixeira,"Esplanada Novaes, 17
Dona Clara
14010-821 Cunha Verde / SP",01-31-2023,01-31-2023
c6426ab1-8ada-4b93-8867-2bf26801fa56,2994b773-f15b-4d26-8e07-902cf530d6d4,78286620035,Clarice Almeida,vrezende@example.net,(021) 1104-9825,58917100,Brasileiro(a),2018-02-21,Feminino,Branco(a),Viúvo(a),Maitê da Cruz,Igor da Cruz,"Ladeira de Gonçalves
Vila Fumec
00081-863 Campos de Duarte / PB",01-31-2023,01-31-2023
678b236e-dd23-4f27-a16b-2e14129dbd35,f2eb10d5-03aa-4fb0-9ed8-3bc627f5c3d3,71222935371,João Lucas Cunha,isabellapeixoto@example.net,+55 11 5068 0895,23612766,Brasileiro(a),2005-04-28,Feminino,Preto(a),Casado(a),Yasmin Aragão,Matheus Vieira,"Residencial Luiz Henrique Ramos, 124
Vila Nova Cachoeirinha 3ª Seção
16331-405 Pinto de Viana / AL",01-31-2023,01-31-2023
a4d79e10-240f-4957-b658-e52d9b3e2627,c1379714-b908-4fca-812c-ced133d86d3b,37308822484,Cecília Fogaça,luizacosta@example.net,(061) 7064-1466,69434628,Brasileiro(a),1987-02-06,Masculino,Preto(a),Casado(a),Esther Souza,Sr. Isaac da Cruz,"Praça de Rezende, 38
Caiçaras
61521803 Araújo / GO",01-31-2023,01-31-2023
da2d3268-98d0-4934-be22-db6dd71f376f,30c90ab3-3692-4ad6-bcb4-edc5994a4428,22628655033,Isadora Cavalcanti,caio52@example.com,+55 71 5348-5632,49289584,Brasileiro(a),2013-02-14,Feminino,Preto(a),Divorciado(a),Maria Alice Costela,Vicente Duarte,"Praia de Souza, 19
Centro
81589-994 da Mota / AP",01-31-2023,01-31-2023
19210a62-a613-42f9-b57f-f5b185d6167a,3dff2734-8fef-427a-8f5a-62c3dcb93063,26364881322,Stella Pinto,pereiramaria-fernanda@example.net,11 1774-8713,13076517,Brasileiro(a),1998-11-28,Outro,Indígena,Divorciado(a),Ana Julia Pinto,João Gabriel Cardoso,"Via de Ferreira, 8
Suzana
30383-330 Araújo / TO",01-31-2023,01-31-2023
03ccefac-fe10-48e0-b971-83a2ac086d13,9551745a-5312-4c38-b786-f9f090ad5281,11412463440,Esther Silva,davi-luizramos@example.org,+55 (011) 6060 3886,13115296,Brasileiro(a),1980-08-09,Outro,Pardo(a),Divorciado(a),Mariana da Rosa,Yuri Porto,"Estrada de Pinto, 759
São Gonçalo
38816897 da Luz / BA",01-31-2023,01-31-2023
93b26139-9b42-461e-986d-3e376811675b,db07bef6-c827-44c0-80da-46f09723ed8f,61926694873,Leonardo Fernandes,salesrafaela@example.net,41 6469-1975,95707201,Brasileiro(a),1996-01-24,Masculino,Branco(a),Divorciado(a),Laura Lopes,Calebe Monteiro,"Trecho Nascimento, 76
Novo São Lucas
09590-886 da Cruz / PR",01-31-2023,01-31-2023
7755a2b9-9a83-4c23-b905-daf6bc1f3315,34e2b5d7-f121-4776-aac4-b085cf2117ed,59243367352,Larissa da Mata,bgoncalves@example.com,0500-317-3224,13698609,Brasileiro(a),2020-03-15,Outro,Preto(a),Viúvo(a),Bianca da Rosa,Dr. Thiago da Costa,"Esplanada Danilo da Mota, 55
Castanheira
36718046 Gomes / MG",01-31-2023,01-31-2023
2707146d-f6c4-4633-a970-3ec252f0aa2a,cc7ec5a7-e8d8-40c1-b3fc-9eaab7be0261,56827842749,Leandro Duarte,henrique08@example.org,(041) 9007 0465,50795341,Brasileiro(a),1990-05-25,Feminino,Branco(a),Divorciado(a),Nina Viana,Carlos Eduardo Cavalcanti,"Fazenda de Barbosa, 7
Vila Nova Gameleira 2ª Seção
14834-121 Novaes das Pedras / AC",01-31-2023,01-31-2023
bc6e6276-101a-4445-8d93-7c80ea6484c5,545d55c0-62f8-42d0-930d-f83866b44b60,12549246717,Lavínia Cardoso,hfernandes@example.org,(081) 5279 6498,28786013,Brasileiro(a),1997-12-03,Feminino,Pardo(a),Viúvo(a),Bruna Moura,Vitor Hugo Freitas,"Vila Moura, 96
Alto Dos Pinheiros
48527-963 da Conceição da Prata / AP",01-31-2023,01-31-2023
070037b7-6491-43bc-a130-735ec44c0ba9,c61aa954-e38b-4a21-b283-2ae0126b11c0,97561344833,Renan Silva,da-cruzandre@example.org,31 3460 5311,52313308,Brasileiro(a),2013-09-11,Masculino,Branco(a),Solteiro(a),Gabrielly Cardoso,Theo Martins,"Favela de Correia, 285
Conjunto Celso Machado
26309981 da Paz de Cardoso / RN",01-31-2023,01-31-2023
5ef5136d-c72d-4262-9542-4764f51d84e2,2b46cc6e-1014-4d8c-8817-6cfc3e4b642b,60182627323,Vicente da Cruz,gustavo95@example.org,+55 (071) 8785 6751,37144472,Brasileiro(a),1979-12-14,Masculino,Branco(a),Casado(a),Evelyn Fogaça,Ian Costela,"Residencial Fernandes, 546
Vila Independencia 1ª Seção
59869425 da Conceição Paulista / RS",01-31-2023,01-31-2023
000b4a9a-0035-4f2b-bde7-1f91419dc536,d322fc5c-00eb-4b45-b93b-222ac4371eb8,78022875075,Gustavo Mendes,emanuellada-rosa@example.com,+55 61 8365 1328,74747356,Brasileiro(a),1990-05-07,Feminino,Pardo(a),Viúvo(a),Maysa Porto,Antônio Almeida,"Praça Lucas Gabriel Monteiro
Unidas
54009777 Costela da Mata / ES",01-31-2023,01-31-2023
4d9e53a0-ccf7-4c35-99cc-8fe24d142e74,d322fc5c-00eb-4b45-b93b-222ac4371eb8,78022875075,Gustavo Mendes,emanuellada-rosa@example.com,+55 61 8365 1328,74747356,Brasileiro(a),1990-05-07,Feminino,Indígena,Viúvo(a),Maysa Porto,Antônio Almeida,"Praça Lucas Gabriel Monteiro
Unidas
54009777 Costela da Mata / ES",01-31-2023,01-31-2023
f03d4dae-8f78-416f-aa01-7a2111115ed9,d322fc5c-00eb-4b45-b93b-222ac4371eb8,78022875075,Gustavo Mendes,emanuellada-rosa@example.com,+55 61 8365 1328,74747356,Brasileiro(a),1990-05-07,Feminino,Pardo(a),Viúvo(a),Maysa Porto,Antônio Almeida,"Praça Lucas Gabriel Monteiro
Unidas
54009777 Costela da Mata / ES",01-31-2023,01-31-2023
74305006-4f5e-482c-9c04-05bcfae14e4e,ee330897-1589-47eb-ba6e-47a39232b2db,33453127200,Maria Fernanda Cavalcanti,davi-lucasbarros@example.org,+55 (061) 3803-9868,35798529,Brasileiro(a),1999-05-19,Masculino,Branco(a),Viúvo(a),Helena Cardoso,Sr. Luiz Gustavo Duarte,"Viaduto Martins, 7
Santa Branca
98451-965 Cunha da Praia / SE",01-31-2023,01-31-2023
2cd2bc3b-03c7-4310-9473-9df16fe272ae,f21a84a0-9625-4b38-a5d3-7d4c790981c3,63409848129,Dr. Vitor Gabriel Moraes,luiz-otavioda-costa@example.org,+55 71 7469-5548,88377627,Brasileiro(a),1970-10-16,Feminino,Branco(a),Divorciado(a),Alana Moura,Dr. Felipe Araújo,"Trecho de Jesus, 18
Alto Caiçaras
06710666 Viana / GO",01-31-2023,01-31-2023
e53222d7-a77f-48b4-bef7-24cd31bc7484,e22aa9fb-c3bb-41a1-95bb-0822775c0e5c,78281286308,Sr. João Miguel Pires,theoduarte@example.com,+55 11 4620 9253,54391960,Brasileiro(a),1979-05-17,Feminino,Preto(a),Casado(a),Dra. Joana Santos,Otávio Vieira,"Quadra da Cruz
Penha
24234972 Lopes / MA",01-31-2023,01-31-2023
1d508f56-97ac-4592-b109-d22330630959,7fe1d7eb-7bbf-44e7-96e7-1960363df50c,95632741165,Gustavo Alves,caio89@example.net,+55 71 1105 4655,71027478,Brasileiro(a),2021-05-31,Feminino,Indígena,Casado(a),Ana Luiza Dias,Felipe Duarte,"Viaduto de Ferreira, 301
Itapoa
68054-840 Cunha / GO",01-31-2023,01-31-2023
584b7628-3156-47bf-957a-df28a51d5053,6d0ae6cf-c63f-4ccb-963b-46043fde61a7,39320393387,Dra. Vitória Campos,unovaes@example.com,+55 (071) 8216-7700,54782365,Brasileiro(a),2019-07-15,Outro,Indígena,Solteiro(a),Bianca da Mata,Vinicius Cavalcanti,"Largo de Ribeiro
Madre Gertrudes
80240-447 Teixeira do Sul / PE",01-31-2023,01-31-2023
