id,employee_id,Name,Início do período,Fim do período,Limite p/ gozo,Status,Criado_em,Upload_em
99009dfc-b9b4-4bd5-870f-6e7b23190bc2,6dfb3f66-e66a-4ae3-8ddf-815a1a0aa1e1,Caroline da Mota,2021-03-01,2022-02-28,2023-02-23,True,01-31-2023,01-31-2023
8ede2f96-62cf-4417-a3f5-5bd7b123345c,6dfb3f66-e66a-4ae3-8ddf-815a1a0aa1e1,Caroline da Mota,2022-03-01,2023-02-28,2024-01-30,True,01-31-2023,01-31-2023
09f75c23-4e07-420d-b343-7d86549279a2,0f7770d5-d4a0-4e8e-b58d-2207f4ad6c9d,Arthur Teixeira,2021-03-15,2022-03-14,2023-03-10,True,01-31-2023,01-31-2023
d6b3bb3b-7f8f-4084-a86f-892a17824841,0f7770d5-d4a0-4e8e-b58d-2207f4ad6c9d,Arthur Teixeira,2022-03-15,2023-03-14,2024-02-14,True,01-31-2023,01-31-2023
04f87c40-66cd-41a7-a0b6-4e0b93246c80,0ee99d11-dfb9-460b-99de-f42075d46542,Matheus Melo,2021-03-15,2022-03-14,2023-03-07,True,01-31-2023,01-31-2023
6b0ff1a1-3789-4040-927a-b5e3e49a77bc,0ee99d11-dfb9-460b-99de-f42075d46542,Matheus Melo,2022-03-15,2023-03-14,2024-02-14,True,01-31-2023,01-31-2023
849c691c-575b-456f-818f-520d976a00da,40ea9909-34dd-4505-8d4c-9faa01b388e3,Thiago Costela,2021-05-17,2022-05-16,2023-04-29,True,01-31-2023,01-31-2023
26a3b0c3-478d-477b-bb19-c6f1badeede9,40ea9909-34dd-4505-8d4c-9faa01b388e3,Thiago Costela,2022-05-17,2023-05-16,2024-04-17,True,01-31-2023,01-31-2023
b28ed375-5915-4e39-8feb-7fb851f631e7,655f70e2-148c-4817-b66c-1eb670d9e2a8,Dr. Arthur Fogaça,2021-07-01,2022-06-30,2023-06-01,True,01-31-2023,01-31-2023
2b191663-eadc-4f13-94b6-1b292fb7198e,655f70e2-148c-4817-b66c-1eb670d9e2a8,Dr. Arthur Fogaça,2022-07-01,2023-06-30,2024-06-01,True,01-31-2023,01-31-2023
05adc464-e641-44c2-b19e-b8833c007369,edc2fb70-3ea3-40af-828d-cf24c0501b63,Alexandre Silva,2021-07-05,2022-07-04,2023-06-23,True,01-31-2023,01-31-2023
6f5972af-5eda-467a-8884-52cc43f961e4,edc2fb70-3ea3-40af-828d-cf24c0501b63,Alexandre Silva,2022-07-05,2023-07-04,2024-06-05,True,01-31-2023,01-31-2023
adc6ba43-d388-4031-9ce6-bdf0431a1a65,052d2a11-8a59-4c38-9ff0-954cbb932096,Heloísa Costela,2021-07-12,2022-07-11,2023-06-24,True,01-31-2023,01-31-2023
13fef9fb-7cc3-44c9-933d-2a8ced98d502,825daadd-c34d-4c5b-959b-8e2cddd91b9a,Heloísa Costela,2021-07-12,2022-07-11,2023-06-24,True,01-31-2023,01-31-2023
82cb9109-adff-4314-8414-67491b33c584,052d2a11-8a59-4c38-9ff0-954cbb932096,Heloísa Costela,2022-07-12,2023-07-11,2024-06-12,True,01-31-2023,01-31-2023
17dc5693-c126-4ce6-be2d-7a3807c68e54,825daadd-c34d-4c5b-959b-8e2cddd91b9a,Heloísa Costela,2022-07-12,2023-07-11,2024-06-12,True,01-31-2023,01-31-2023
ca489359-e30e-4353-9cfc-b2f4d74b6dff,cd216a72-30b7-4c1d-a2fe-0a6dcb20b79a,Ana Luiza Cardoso,2021-08-05,2022-08-04,2023-07-06,True,01-31-2023,01-31-2023
770451b1-e049-4497-b6d8-fe0248a857ef,cd216a72-30b7-4c1d-a2fe-0a6dcb20b79a,Ana Luiza Cardoso,2022-08-05,2023-08-04,2024-07-06,True,01-31-2023,01-31-2023
13a473f3-e007-400f-8e85-3c539a273e6e,ed33d864-591b-4f81-a864-ae1437ff5f57,Amanda Almeida,2021-08-16,2022-08-15,2023-08-01,True,01-31-2023,01-31-2023
f7cd9031-51d7-4fae-8170-29f014921ccf,ed33d864-591b-4f81-a864-ae1437ff5f57,Amanda Almeida,2022-08-16,2023-08-15,2024-07-17,True,01-31-2023,01-31-2023
8534ed3a-b39d-4863-8adc-ad8924d9fc67,2f42e7fe-fbf4-4da8-af0d-70100448c6e9,Arthur da Costa,2021-08-16,2022-08-15,2023-07-17,True,01-31-2023,01-31-2023
8635f716-a96d-4f2e-afb9-7d35cd6016fa,2f42e7fe-fbf4-4da8-af0d-70100448c6e9,Arthur da Costa,2022-08-16,2023-08-15,2024-07-17,True,01-31-2023,01-31-2023
6e9d697e-6c3d-436e-9510-a7ae3f68779a,79bb98f7-ec7e-475b-8649-035e33bc182f,Luiz Otávio Moraes,2021-08-16,2022-08-15,2023-07-17,True,01-31-2023,01-31-2023
b406f927-61c9-4049-933e-26c178bb5c67,7bf54c30-32b0-4a1b-95bd-b7bf36301eb5,Dr. Kaique Viana,2021-08-17,2022-08-16,2023-07-18,True,01-31-2023,01-31-2023
54dab0bf-e3d6-49bc-9ebb-fd99dbae26fc,7bf54c30-32b0-4a1b-95bd-b7bf36301eb5,Dr. Kaique Viana,2022-08-17,2023-08-16,2024-07-18,True,01-31-2023,01-31-2023
4cff5ad0-19f3-4224-b13d-7f79374cb551,12f1df28-7462-4c7f-8d90-5fe81a71a390,João Gabriel Silveira,2021-09-01,2022-08-31,2023-08-02,True,01-31-2023,01-31-2023
570ef5b7-33b2-40a7-9199-ff2402d22ef0,12f1df28-7462-4c7f-8d90-5fe81a71a390,João Gabriel Silveira,2022-09-01,2023-08-31,2024-08-02,True,01-31-2023,01-31-2023
c40cb5c4-b66d-4ea7-8f30-9592e9f18353,,Ana Sophia Santos,2021-09-20,2022-09-19,2023-08-21,True,01-31-2023,01-31-2023
a791335e-f4b9-4da9-9c53-9154a9738792,,Ana Sophia Santos,2022-09-20,2023-09-19,2024-08-21,True,01-31-2023,01-31-2023
acb08805-b988-4863-9c75-a0e9326cf3fb,8f680c4a-ba9d-4c1b-b1c1-17407c368ddd,Pietro Martins,2021-10-04,2022-10-03,2023-09-14,True,01-31-2023,01-31-2023
16ce2b7f-0939-44f3-8740-092bf5ce8c77,8f680c4a-ba9d-4c1b-b1c1-17407c368ddd,Pietro Martins,2022-10-04,2023-10-03,2024-09-04,True,01-31-2023,01-31-2023
1e992a7d-b3d3-4e12-8561-5afd750fcfb9,ba1e228a-ccea-46ae-afce-f4ade35c4347,João Miguel Mendes,2021-10-04,2022-10-03,2023-09-04,True,01-31-2023,01-31-2023
33f4b0f5-854f-4060-bf3f-9c4680ef52e9,ba1e228a-ccea-46ae-afce-f4ade35c4347,João Miguel Mendes,2022-10-04,2023-10-03,2024-09-04,True,01-31-2023,01-31-2023
6c458467-dc6b-4852-af8c-06e2d9f30bd7,9cccf949-ca99-4e22-af4d-9760e45dbad4,Amanda da Cruz,2021-10-04,2022-10-03,2023-09-19,True,01-31-2023,01-31-2023
8bd9638d-954b-4d41-9264-a49a5c50f35d,9cccf949-ca99-4e22-af4d-9760e45dbad4,Amanda da Cruz,2022-10-04,2023-10-03,2024-09-04,True,01-31-2023,01-31-2023
851f9582-6b78-4649-ac3a-975c2bd1b6cf,2ba3f84c-1fb1-42e6-902c-3eac23563bb7,Emanuella Dias,2021-10-18,2022-10-17,2023-09-18,True,01-31-2023,01-31-2023
c60ed634-832d-4c96-974a-42e91cf4e35c,2ba3f84c-1fb1-42e6-902c-3eac23563bb7,Emanuella Dias,2022-10-18,2023-10-17,2024-09-18,True,01-31-2023,01-31-2023
e8f63a34-12a7-44c6-b437-551e3924318b,a53a3038-c98a-4ffb-9580-4f7593237c74,Sr. João Jesus,2021-11-01,2022-10-31,2023-10-02,True,01-31-2023,01-31-2023
b68a08b0-eb9c-4e2f-a3f1-c5953283f08a,a53a3038-c98a-4ffb-9580-4f7593237c74,Sr. João Jesus,2022-11-01,2023-10-31,2024-10-02,True,01-31-2023,01-31-2023
8835f84e-cca4-40c5-9602-fab5462cdd91,4707f7f1-aba0-4d59-87f7-70f5ce7ec7b9,Levi Ribeiro,2021-11-01,2022-10-31,2023-10-02,True,01-31-2023,01-31-2023
