id,Nome,Telefone,Email,Situação,Criado_em,Upload_em
e3afc66f-dde4-400c-8498-acf3bb8d5ec1,Lucas Gabriel da Rosa,+55 (081) 0623-4078,viniciussales@example.com,Ativo,01-31-2023,01-31-2023
2994b773-f15b-4d26-8e07-902cf530d6d4,Clarice Almeida,(021) 1104-9825,vrezende@example.net,Ativo,01-31-2023,01-31-2023
f2eb10d5-03aa-4fb0-9ed8-3bc627f5c3d3,João Lucas Cunha,+55 11 5068 0895,isabellapeixoto@example.net,Ativo,01-31-2023,01-31-2023
c1379714-b908-4fca-812c-ced133d86d3b,Cecília Fogaça,(061) 7064-1466,luizacosta@example.net,Ativo,01-31-2023,01-31-2023
30c90ab3-3692-4ad6-bcb4-edc5994a4428,Isadora Cavalcanti,+55 71 5348-5632,caio52@example.com,Ativo,01-31-2023,01-31-2023
3dff2734-8fef-427a-8f5a-62c3dcb93063,Stella Pinto,11 1774-8713,pereiramaria-fernanda@example.net,Ativo,01-31-2023,01-31-2023
9551745a-5312-4c38-b786-f9f090ad5281,Esther Silva,+55 (011) 6060 3886,davi-luizramos@example.org,Ativo,01-31-2023,01-31-2023
db07bef6-c827-44c0-80da-46f09723ed8f,Leonardo Fernandes,41 6469-1975,salesrafaela@example.net,Ativo,01-31-2023,01-31-2023
34e2b5d7-f121-4776-aac4-b085cf2117ed,Larissa da Mata,0500-317-3224,bgoncalves@example.com,Ativo,01-31-2023,01-31-2023
cc7ec5a7-e8d8-40c1-b3fc-9eaab7be0261,Leandro Duarte,(041) 9007 0465,henrique08@example.org,Ativo,01-31-2023,01-31-2023
545d55c0-62f8-42d0-930d-f83866b44b60,Lavínia Cardoso,(081) 5279 6498,hfernandes@example.org,Ativo,01-31-2023,01-31-2023
c61aa954-e38b-4a21-b283-2ae0126b11c0,Renan Silva,31 3460 5311,da-cruzandre@example.org,Ativo,01-31-2023,01-31-2023
2b46cc6e-1014-4d8c-8817-6cfc3e4b642b,Vicente da Cruz,+55 (071) 8785 6751,gustavo95@example.org,Ativo,01-31-2023,01-31-2023
d322fc5c-00eb-4b45-b93b-222ac4371eb8,Gustavo Mendes,+55 61 8365 1328,emanuellada-rosa@example.com,Ativo,01-31-2023,01-31-2023
ee330897-1589-47eb-ba6e-47a39232b2db,Maria Fernanda Cavalcanti,+55 (061) 3803-9868,davi-lucasbarros@example.org,Ativo,01-31-2023,01-31-2023
f21a84a0-9625-4b38-a5d3-7d4c790981c3,Dr. Vitor Gabriel Moraes,+55 71 7469-5548,luiz-otavioda-costa@example.org,Ativo,01-31-2023,01-31-2023
e22aa9fb-c3bb-41a1-95bb-0822775c0e5c,Sr. João Miguel Pires,+55 11 4620 9253,theoduarte@example.com,Ativo,01-31-2023,01-31-2023
7fe1d7eb-7bbf-44e7-96e7-1960363df50c,Gustavo Alves,+55 71 1105 4655,caio89@example.net,Ativo,01-31-2023,01-31-2023
6d0ae6cf-c63f-4ccb-963b-46043fde61a7,Dra. Vitória Campos,+55 (071) 8216-7700,unovaes@example.com,Ativo,01-31-2023,01-31-2023
7c8720cb-83b5-4324-bc9b-fd28569765ed,Daniela da Conceição,0900-624-1760,nascimentoraul@example.com,Ativo,01-31-2023,01-31-2023
8996e965-0dd1-4edd-b37a-225f2b3a4a93,Pedro Miguel Souza,+55 (031) 7307-6735,nogueiramiguel@example.org,Ativo,01-31-2023,01-31-2023
baf82a47-8300-4799-b5f8-8f9224cc354f,Amanda Silva,+55 84 0292 4626,luiz-gustavocardoso@example.org,Ativo,01-31-2023,01-31-2023
67fd2e0c-97a8-478b-835e-88e255fc0a2f,Isadora Barbosa,(051) 5604-0601,luiz-henrique64@example.org,Ativo,01-31-2023,01-31-2023
